Gene,WT q-value,WT log2 fold change,KRas mutant q-value,KRas mutant log2 fold change,Synthetic Lethal Score
SRP14,0.999996,-1.470894574,0.568011,-2.912397943,1.441503369
RRP36,0.999996,-0.286755583,0.973783,-1.725760962,1.439005379
PAM,0.999996,-2.405869378,0.999998,-3.840098813,1.434229436
SPNS2,0.999996,-0.84141067,0.999998,-2.271687077,1.430276408
FCF1,0.219794,-1.847364816,0.214244,-3.276755472,1.429390656
TNPO1,0.159031,-1.417811393,0.264149,-2.845088001,1.427276608
SMG6,0.471035,-1.033483167,0.444126,-2.458422953,1.424939786
GABPB1,0.251628,-1.447926706,0.172046,-2.866529472,1.418602766
DR1,0.428608,-1.178999796,0.287073,-2.593569519,1.414569723
RPL10,0.04295,-3.294645724,0.065013,-4.706936418,1.412290694
SCAP,0.342433,-1.875496656,0.053385,-3.284108502,1.408611846
WARS2,0.634507,-1.690912386,0.079338,-3.089878213,1.398965827
TAF3,0.071851,-1.943678679,0.086279,-3.342494733,1.398816054
FDPS,0.290265,-0.914777002,0.356151,-2.312926744,1.398149742
SEH1L,0.474669,-1.798850502,0.336488,-3.193127287,1.394276785
CCT3,0.044823,-3.889387404,0.062677,-5.281997865,1.392610462
WRN,0.999996,-1.261712263,0.999998,-2.649855902,1.388143639
NGB,0.999996,-1.157238467,0.999998,-2.545337092,1.388098625
PSMC3,0.02064,-1.812893631,0.022933,-3.191207143,1.378313513
ANAPC10,0.599228,-2.158308441,0.138797,-3.534345573,1.376037132
ZNF85,0.999996,0.854624666,0.999998,-0.52015534,1.374780006
VGF,0.999996,-0.719401635,0.999998,-2.092769342,1.373367707
COX6C,0.976578,-0.24485477,0.115695,-1.617066952,1.372212182
FAM50A,0.030652,-2.142522115,0.023848,-3.50986197,1.367339856
LTN1,0.999996,-2.181634102,0.999998,-3.542679476,1.361045375
OXR1,0.999996,-0.653936126,0.999998,-2.014688562,1.360752436
RASL10A,0.999996,-0.551722994,0.999998,-1.911957848,1.360234855
DARS2,0.254265,-1.569307397,0.296197,-2.926760253,1.357452856
TIMM50,0.649436,-0.696690849,0.461773,-2.052400716,1.355709867
RPE,0.166268,-2.679173805,0.253083,-4.030402409,1.351228604
COPS2,0.855137,-1.435266447,0.549852,-2.784719672,1.349453225
ANAPC2,0.012431,-2.364281366,0.012871,-3.711835232,1.347553866
SLC31A1,0.52914,-0.831200538,0.059001,-2.17331968,1.342119142
ACACA,0.58938,-0.754772443,0.106689,-2.093924892,1.339152449
NEXN,0.999996,0.857630692,0.999998,-0.476834755,1.334465447
PSMD14,0.171607,-1.496932729,0.06435,-2.831118784,1.334186055
PGA5,0.999996,-2.241914563,0.999998,-3.566866691,1.324952128
XRCC5,0.567366,1.004103875,0.55087,-0.318980942,1.323084816
INTS3,0.054592,-1.687169016,0.039286,-3.008182949,1.321013933
CIRH1A,0.552744,-1.5779376,0.232176,-2.894564161,1.316626561
ZNF493,0.999996,-0.083734572,0.999998,-1.397631454,1.313896882
CDIPT,0.069994,-2.812431064,0.033989,-4.124718162,1.312287098
WBSCR17,0.999996,-2.078496467,0.999998,-3.390461583,1.311965116
CYC1,0.013232,-2.57239426,0.021488,-3.883950193,1.311555933
TEX10,0.081726,-1.98847236,0.24191,-3.299713047,1.311240686
RPS11,0.030288,-4.145825171,0.033635,-5.455512084,1.309686914
USP50,0.999996,-3.156969326,0.999998,-4.460937534,1.303968208
GEMIN6,0.167628,-0.741741306,0.077809,-2.042226062,1.300484756
RPL11,0.086177,-3.187078273,0.033989,-4.481774958,1.294696685
THG1L,0.250029,-2.425733675,0.287992,-3.720127307,1.294393632
IPO11,0.999996,-0.75723074,0.397796,-2.051296981,1.294066241
KIN,0.077078,-1.333060361,0.114803,-2.626200026,1.293139665
DYNLRB1,0.067057,-1.414066598,0.027265,-2.706482379,1.292415781
PMVK,0.070106,-2.288438186,0.033635,-3.580210793,1.291772607
CDC23,0.588258,-1.706393459,0.559885,-2.997779294,1.291385836
SCFD1,0.999996,-0.708806115,0.122686,-1.996801411,1.287995297
HSPD1,0.700735,-1.392396699,0.884469,-2.680264234,1.287867535
BUB3,0.033262,-2.656331113,0.017479,-3.937662037,1.281330924
SNRPF,0.58938,-3.64598909,0.289045,-4.927206048,1.281216958
MRC2,0.999996,-1.728302612,0.999998,-3.004786643,1.276484031
VPS26A,0.999996,-2.400369232,0.999998,-3.675371042,1.27500181
EIF5B,0.070106,-3.217776643,0.055833,-4.489036933,1.271260291
NUDT9,0.999996,-1.498033672,0.999998,-2.769004477,1.270970805
TFRC,0.018294,-3.233550838,0.033989,-4.500308655,1.266757816
RPS3,0.167385,-2.439503523,0.152099,-3.703602467,1.264098944
DPAGT1,0.028367,-2.712282252,0.033989,-3.973159783,1.260877532
TRAPPC1,0.547244,-1.343664012,0.47339,-2.603255042,1.25959103
ERCC2,0.065269,-1.779876579,0.013622,-3.038648296,1.258771716
SLU7,0.999996,-1.03515036,0.80342,-2.289357074,1.254206714
TXNDC11,0.999996,-1.48289358,0.999998,-2.73564812,1.25275454
SNRPD2,0.2054,-1.036105894,0.135094,-2.288129328,1.252023434
RPL32,0.324854,-2.347586092,0.630262,-3.592842686,1.245256594
PSMB6,0.19475,-0.957323231,0.260461,-2.200990464,1.243667233
SYVN1,0.165485,-0.715849362,0.034558,-1.959059925,1.243210562
ERH,0.054558,-2.735851602,0.145804,-3.977350685,1.241499083
NOP2,0.014222,-1.716984211,0.01388,-2.952082411,1.2350982
TMED2,0.061531,-1.306896484,0.059032,-2.539810585,1.232914101
POLR2C,0.074711,-2.838427963,0.047424,-4.070922647,1.232494684
RBM14-RBM4,0.007735,-1.75003406,0.007265,-2.981680059,1.231645999
GLP2R,0.095065,-2.049676914,0.089597,-3.279563903,1.229886989
CLNS1A,0.01317,-3.446670889,0.018854,-4.676065812,1.229394923
VASH1,0.999996,-1.624812606,0.999998,-2.853814282,1.229001676
ZGPAT,0.999996,-1.054588274,0.749828,-2.282525266,1.227936992
ATP6V1D,0.356065,-2.163796367,0.565598,-3.391441053,1.227644686
TUFT1,0.999996,-1.89590744,0.744759,-3.117284759,1.221377319
ZBTB12,0.618427,-1.808856512,0.917178,-3.027317232,1.21846072
PELI3,0.999996,-1.680956608,0.999998,-2.899121312,1.218164704
ATP5C1,0.236848,-1.277909263,0.286683,-2.495871244,1.217961981
KANSL2,0.999996,-0.531573521,0.619375,-1.749100876,1.217527355
ATP5O,0.579424,-1.174125422,0.065401,-2.390003743,1.215878321
PHB,0.044918,-1.708781628,0.019942,-2.922331966,1.213550338
MRPS11,0.050248,-1.281145416,0.038697,-2.492410983,1.211265568
DDX27,0.140108,-2.21612721,0.288198,-3.42727483,1.21114762
TPT1,0.030346,-1.869800892,0.004174,-3.080412064,1.210611172
GRB2,0.999996,0.189942016,0.999998,-1.016907915,1.206849931
ZCCHC9,0.999996,-0.307505466,0.853943,-1.513288869,1.205783403
NFYB,0.999996,-1.280413058,0.999998,-2.484381145,1.203968087
WDR13,0.999996,-2.238631496,0.999998,-3.442578079,1.203946583
TCEA1,0.999996,-0.676086997,0.827603,-1.875821057,1.19973406
COX6B1,0.019354,-1.934036014,0.005736,-3.133011471,1.198975457
PHF3,0.999996,-2.982005055,0.999998,-4.180364968,1.198359913
MEMO1,0.999996,-0.648027157,0.999998,-1.845235882,1.197208725
CLEC11A,0.07748,-1.760148544,0.086279,-2.956547104,1.19639856
GTPBP4,0.097835,-1.448846695,0.094059,-2.64044408,1.191597386
SULT1C3,0.999996,1.042372536,0.999998,-0.144225153,1.186597689
SSBP1,0.435268,-1.421462702,0.193865,-2.605445994,1.183983291
FKBPL,0.033853,-2.101223439,0.014734,-3.284818881,1.183595442
TVP23A,0.999996,-2.145123394,0.999998,-3.326857362,1.181733968
PLP2,0.999996,-1.237726731,0.999998,-2.418974899,1.181248168
CTCF,0.436711,-0.997201587,0.070545,-2.178029763,1.180828176
ACADSB,0.999996,1.118235037,0.999998,-0.060551024,1.178786061
FFAR3,0.999996,-0.250815413,0.461309,-1.429114487,1.178299074
CYCS,0.157434,-1.875132368,0.393108,-3.053249759,1.178117391
KIF4A,0.999996,-0.471533628,0.082862,-1.649594729,1.178061101
NUP37,0.999996,-0.843432845,0.999998,-2.019154984,1.175722139
ABHD5,0.78152,-1.375581151,0.996995,-2.549352237,1.173771086
SLAMF8,0.938686,-0.516660721,0.122178,-1.689099454,1.172438733
MRPL37,0.232513,-2.854368372,0.195683,-4.02608185,1.171713478
SEMA3C,0.999996,-0.361123066,0.999998,-1.531526448,1.170403382
PFDN5,0.999996,-2.197201417,0.712388,-3.367318639,1.170117223
EEFSEC,0.072001,-1.385648827,0.05769,-2.553614654,1.167965826
WDR62,0.999996,-3.249538258,0.854728,-4.415797546,1.166259288
ATP6V0D2,0.999996,-0.579760036,0.953199,-1.742774087,1.163014052
LIN7C,0.96101,-0.875696728,0.999998,-2.03761453,1.161917803
DLG2,0.999996,-0.449388245,0.999998,-1.611012296,1.161624051
BCAS2,0.206515,-1.489091204,0.283238,-2.649890939,1.160799735
WDR47,0.999996,-2.720445716,0.999998,-3.880339819,1.159894103
DDX51,0.315893,-1.058217671,0.056594,-2.217928458,1.159710787
MTOR,0.844823,-1.865971028,0.55232,-3.025520151,1.159549123
RPS2,0.044655,-3.039984657,0.018854,-4.199194231,1.159209575
PHAX,0.068885,-2.737169931,0.999998,-3.894000293,1.156830362
MVD,0.04541,-1.461326111,0.027265,-2.616989641,1.15566353
NOL4,0.999996,-2.813654662,0.999998,-3.969238789,1.155584127
PKLR,0.999996,-1.4799569,0.999998,-2.635041453,1.155084553
RPS18,0.030652,-2.229391514,0.014994,-3.383815426,1.154423913
C5orf63,0.999996,-0.704886465,0.999998,-1.855603416,1.150716951
MTX1,0.999996,-0.794604386,0.877375,-1.94525423,1.150649844
AFTPH,0.999996,0.499975827,0.999998,-0.647746071,1.147721897
DNAJC17,0.160032,-2.399484581,0.230113,-3.547169094,1.147684513
PRPF4,0.166382,-1.360273733,0.098221,-2.506796623,1.146522891
PRPF31,0.021335,-2.338939727,0.014734,-3.484887718,1.145947991
IMP3,0.020138,-1.744741177,0.004174,-2.885778102,1.141036926
GGA3,0.142146,-2.041372153,0.022217,-3.180998464,1.139626311
RBBP5,0.96101,-1.122153897,0.277742,-2.261566338,1.139412441
INO80E,0.638078,-1.25366419,0.233224,-2.391166861,1.137502671
RFC5,0.185664,-1.15904089,0.303099,-2.295935441,1.136894551
GABPA,0.947848,-0.996337809,0.381628,-2.132005699,1.13566789
ANAPC11,0.050865,-2.664594329,0.011824,-3.799900023,1.135305694
KLF16,0.003938,-2.598018657,0.0197,-3.73099114,1.132972483
RPS13,0.182413,-1.652615927,0.171503,-2.784742347,1.13212642
TKT,0.012448,-2.131522292,0.003387,-3.261727426,1.130205134
KDM8,0.215974,-0.805863926,0.09294,-1.934554583,1.128690657
SNAP23,0.999996,-0.399808513,0.999998,-1.524799971,1.124991458
C16orf80,0.130358,-1.539007188,0.198258,-2.659750168,1.12074298
DCTN2,0.33704,-1.237622878,0.073297,-2.356911236,1.119288358
CFDP1,0.402818,-1.586647785,0.999998,-2.705337627,1.118689842
SRP9,0.218629,-1.320069738,0.260325,-2.43536844,1.115298701
UBE2H,0.999996,-0.260879093,0.999998,-1.375495918,1.114616825
NHP2,0.006976,-2.292669408,0.028232,-3.403083049,1.11041364
PAPPA2,0.999996,-0.092747192,0.999998,-1.202211041,1.109463849
EZR,0.855861,-0.674191081,0.335488,-1.782544083,1.108353002
NDUFS1,0.509043,-0.238423195,0.434829,-1.346766152,1.108342957
SUPT16H,0.069225,-1.716058137,0.043703,-2.822402367,1.106344229
TBL1XR1,0.960552,-0.520365843,0.084002,-1.62574011,1.105374267
POLE,0.03738,-2.057267982,0.017136,-3.162120259,1.104852277
CCT7,0.027171,-1.34247523,0.014994,-2.445016488,1.102541258
PHLDB2,0.999996,-1.102017175,0.999998,-2.20248404,1.100466865
POLR3A,0.072696,-2.159857126,0.079736,-3.259705479,1.099848353
FAM92B,0.858248,-0.906726715,0.788049,-2.006409949,1.099683234
INMT,0.942298,-0.082623159,0.632625,-1.182107794,1.099484635
AHCTF1,0.238648,-1.322392181,0.801775,-2.420531961,1.09813978
CFL1,0.135806,-1.820722918,0.071271,-2.918401692,1.097678775
TAS2R5,0.999996,-0.39477198,0.999998,-1.486742656,1.091970677
AP4S1,0.999996,-0.034179247,0.999998,-1.125004382,1.090825135
COLCA2,0.979806,-0.79215073,0.999998,-1.878777593,1.086626863
PSMB3,0.038919,-2.942583058,0.061656,-4.028923437,1.086340378
SNW1,0.145669,-1.302273313,0.051818,-2.387850644,1.085577331
POLR2A,0.230544,-1.369718779,0.220773,-2.455204652,1.085485873
ADAR,0.999996,-0.756214161,0.089617,-1.84025927,1.08404511
NOP16,0.198709,-2.663128223,0.045531,-3.746255552,1.08312733
MBD3L5,0.248932,-0.560012322,0.042419,-1.64238665,1.082374328
CRLS1,0.595604,-0.741045194,0.13916,-1.821986291,1.080941097
RPS6,0.04047,-1.7055427,0.051681,-2.786102857,1.080560157
KIAA0391,0.051176,-1.686548405,0.053638,-2.761060625,1.07451222
ATP6V0D1,0.50105,-1.590488926,0.075871,-2.664452301,1.073963375
ORC2,0.999996,-3.354882379,0.999998,-4.428127601,1.073245222
LARS,0.111969,-1.221857974,0.633866,-2.294165284,1.07230731
HINFP,0.139649,-1.469531256,0.053638,-2.541585163,1.072053907
RPAP1,0.013272,-2.474390708,0.017479,-3.545060008,1.070669301
BRF2,0.009415,-2.630564157,0.010497,-3.700683921,1.070119764
NOC2L,0.002321,-1.625349099,0.003387,-2.693569777,1.068220678
GLE1,0.855137,-1.340028707,0.412129,-2.408049338,1.068020631
BCL2L1,0.091771,-1.698541974,0.145515,-2.765022665,1.066480691
RPP25L,0.037537,-0.948142814,0.022243,-2.014495316,1.066352502
SPATA5,0.296874,-1.750301849,0.087982,-2.816646962,1.066345113
SURF6,0.007019,-2.16759629,0.016837,-3.233660321,1.066064031
TUBGCP3,0.043007,-2.746455514,0.077809,-3.811844022,1.065388508
RNF40,0.368265,-0.512495802,0.60735,-1.577818034,1.065322231
BCS1L,0.041126,-2.515145397,0.015847,-3.580150414,1.065005016
IMP4,0.044823,-1.82058311,0.012715,-2.884153314,1.063570204
ULBP1,0.999996,-1.028231247,0.999998,-2.091327963,1.063096716
DNLZ,0.00918,-1.81207588,0.015759,-2.874054959,1.061979079
UQCRC2,0.33802,-2.383131483,0.266039,-3.442762857,1.059631374
CSE1L,0.228849,-1.978319922,0.270464,-3.037905018,1.059585095
EIF6,0.222926,-2.294964753,0.163151,-3.354505,1.059540247
HTRA3,0.999996,-0.626817001,0.999998,-1.683677249,1.056860248
NAT1,0.999996,-1.502463517,0.999998,-2.557730133,1.055266616
HGF,0.999996,-0.973229419,0.867296,-2.028126384,1.054896964
GTF3A,0.176822,-2.093163384,0.294009,-3.146179766,1.053016382
DDX1,0.062779,-2.108048289,0.20059,-3.159964691,1.051916402
WDR25,0.159031,-2.020614602,0.108143,-3.072483204,1.051868601
UTP6,0.172356,-1.813007051,0.412131,-2.864733961,1.051726911
MAGEB1,0.988343,0.855539894,0.923966,-0.195586187,1.051126081
ZCCHC14,0.999996,-1.311578312,0.999998,-2.362021452,1.05044314
ETF1,0.158466,-1.969213835,0.082025,-3.015258338,1.046044503
BARD1,0.999996,0.459967887,0.863856,-0.584943501,1.044911387
CHCHD3,0.999996,-0.271040517,0.395236,-1.313693243,1.042652726
CHAF1B,0.580098,-1.390575488,0.416437,-2.432130499,1.041555012
MFN1,0.999996,-1.021413625,0.999998,-2.062516571,1.041102946
POLR2H,0.19475,-2.527428881,0.113696,-3.568213677,1.040784796
TIMM13,0.044918,-1.437714279,0.011857,-2.47832537,1.040611091
RBFOX1,0.921127,-0.906051087,0.497425,-1.945145524,1.039094437
VWF,0.999996,0.671701371,0.999998,-0.365519989,1.03722136
RPTOR,0.005819,-2.068953673,0.004174,-3.105452674,1.036499001
URB2,0.061531,-1.822888108,0.075309,-2.859132863,1.036244755
RBBP6,0.318976,-0.641340955,0.245069,-1.677519216,1.03617826
FMR1,0.999996,-0.68279472,0.880906,-1.717581532,1.034786812
SDAD1,0.032178,-1.988029164,0.037283,-3.022779254,1.03475009
CCT5,0.005819,-2.18567139,0.012558,-3.219205738,1.033534348
FAM71E1,0.353555,-1.292530771,0.153393,-2.32594434,1.033413568
LTA4H,0.999996,-0.619393297,0.999998,-1.651959099,1.032565802
PSMD11,0.04047,-1.999463762,0.029661,-3.02916392,1.029700158
ATP6V1G1,0.070758,-1.843256108,0.083475,-2.872435814,1.029179706
SAP18,0.663095,-1.410204203,0.483101,-2.438240809,1.028036607
RPL24,0.067907,-2.66998416,0.082586,-3.697245022,1.027260862
TBCD,0.041126,-1.593288579,0.012844,-2.619877162,1.026588582
TRMT61B,0.999996,-1.403398006,0.999998,-2.429376627,1.025978621
ENY2,0.999996,-0.461318371,0.48404,-1.484875029,1.023556659
GPI,0.806884,-0.33515832,0.117357,-1.358261549,1.023103229
NOG,0.999996,-1.153429875,0.999998,-2.176190576,1.022760701
YTHDC1,0.565756,-2.820391617,0.910495,-3.842287544,1.021895927
WDR83,0.024162,-1.827244436,0.043587,-2.84902443,1.021779994
RANBP1,0.855137,-2.498007696,0.493182,-3.519471967,1.021464271
MECR,0.189548,-1.561098632,0.987776,-2.579902213,1.018803581
CSNK2B,0.028011,-2.086410381,0.059001,-3.104952333,1.018541952
RPS6KA5,0.888016,-0.334678395,0.910495,-1.352910597,1.018232203
AP2M1,0.551015,-0.756539456,0.157865,-1.77242017,1.015880714
ISCA2,0.209202,-1.252512704,0.010497,-2.268197351,1.015684647
PITPNM3,0.999996,-0.592729222,0.999998,-1.607807681,1.015078459
ST13,0.947212,-0.622551025,0.958721,-1.637361659,1.014810633
BMS1,0.388786,-1.37044237,0.122207,-2.384576365,1.014133995
CCDC115,0.189776,-1.51657064,0.051725,-2.528253167,1.011682527
UQCR11,0.999996,-1.007884058,0.999998,-2.017208172,1.009324113
TRAPPC2L,0.30648,-0.414586368,0.116824,-1.423350281,1.008763913
PPAN-P2RY11,0.033245,-1.688410405,0.023848,-2.696719847,1.008309442
NUBP2,0.243348,-0.246960324,0.171503,-1.252768945,1.005808621
RDH8,0.682389,-0.46797054,0.538843,-1.473134049,1.005163509
C21orf59,0.042036,-3.085082474,0.033635,-4.089976099,1.004893626
CDCA8,0.668962,-1.921281781,0.573537,-2.926165343,1.004883562
CCT8,0.505813,-2.855755208,0.545409,-3.859313782,1.003558574
TRIM25,0.999996,-3.109785395,0.999998,-4.112195217,1.002409822
EIF1AD,0.05986,-2.747525831,0.018486,-3.74978248,1.002256649
POLR1A,0.069225,-3.544765797,0.079638,-4.546185471,1.001419674
PPP2CA,0.633127,-1.371095301,0.442993,-2.371699076,1.000603775
SEPSECS,0.152357,-2.08540159,0.07249,-3.085193296,0.999791705
DEF6,0.684875,-1.221283653,0.910495,-2.219622432,0.998338779
RPS4X,0.009401,-3.185377235,0.007103,-4.183668573,0.998291338
CCS,0.999996,0.10786741,0.733001,-0.890383356,0.998250766
CPSF2,0.23197,-2.556270363,0.358565,-3.552443363,0.996173
TSPYL2,0.387416,-2.676673094,0.495228,-3.671419388,0.994746294
